1	Simulator	Java	6	2000	60	2	9000	168
2	Simulator	Java	5	9500	147	4	4000	287
3	System	Java	1	3500	35	3	400	60
4	Real-time	Java	17	35000	238	5	13600	3400
5	Game	C++	2	1500	30	2	1000	80
6	Real-time	Java	1	10000	65	4	12000	365
7	Game	C	3	1000	20	1	13000	87
8	Simulator	Java	1	4000	46	2	14000	124
9	Simulator	C++	5	2500	90	3	16000	305
10	Real-time	Java	5	7000	101	3	21000	201
11	System	Java	2	3500	45	2	10000	75
12	Real-time	C++	15	2000	243	4	15000	2000
13	Game	C++	1	1000	35	2	1000	94
14	Simulator	Scala	1	500	12	1	14000	48
15	Real-time	C	3	5000	20	3	18000	218
16	Game	Java	1	2000	48	2	16000	112
17	Real-time	PHP	3	23000	118	3	25000	403
18	Game	HTML	5	1200	23	2	14000	136
19	Simulator	Java	3	200	14	3	14000	85
20	Real-time	C++	5	150	32	6	17000	65
21	Simulator	Java	5	1700	205	3	17000	168
22	System	C	4	500	48	2	13000	49
23	Real-time	Java	9	350	104	10	10000	345
24	Simulator	C++	7	1120	55	4	10500	90
